ServiceID,total_requests,slow_requests,E_pct,n_replicas,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,cycle,servers_on
2,23,14.0,60.869565217391305,6,6.360923765517706,11.808196551382835,12.007644362722768,14,60.869565217391305,8.653918818308522,13.097678561184496,19.0493636964891,23.611281802697288,7,8
3,16,9.0,56.25,6,14.01375039310437,33.02026861896793,35.41090793550592,8,50.0,9.567512630341746,13.750393104371614,23.596446733093064,24.05441234163114,7,8
4,9,4.0,44.44444444444444,6,14.013717149427546,25.214334575735023,27.450248625874128,3,33.333333333333336,9.484629196631285,13.717149427545909,21.3611322097806,21.868811821323607,7,8
5,14,8.0,57.142857142857146,6,29.298712635454145,63.507200195342186,68.71789762842201,8,57.142857142857146,8.665560327408262,12.998349739859835,21.78332328236555,23.58302335949992,7,8
6,12,6.0,50.0,6,32.514357010180895,66.76664941459688,73.36264835963557,4,33.333333333333336,9.978153574563422,14.357010180894404,23.26028151026077,24.961453611088334,7,8
7,11,6.0,54.54545454545455,6,56.832999952390466,112.52088138683375,122.519637027731,5,45.45454545454545,10.436841796262524,14.818134208638856,23.38791658490566,24.148781283066914,7,8
8,6,4.0,66.66666666666667,6,66.68219118768302,118.77084955918417,123.77060213470668,4,66.66666666666667,10.75675822964953,15.52452101635257,23.00686265800956,23.33471910687999,7,8
9,13,6.0,46.15384615384615,6,69.24595935723526,132.01242074336488,146.41508303029022,6,46.15384615384615,10.444641020962793,15.190126466035268,23.922231469484625,29.182635926411983,7,8
10,8,3.0,37.5,6,65.01410564670675,106.00871308588509,117.201742617177,2,25.0,9.89909926251074,14.105646706766436,23.69786544111897,24.655197968463025,7,8
11,5,1.0,20.0,6,70.01373338006849,100.01253353838683,100.01359633406032,0,0.0,9.084942966864844,13.733380068486458,21.695710615057877,22.972825650332325,7,8
12,4,1.0,25.0,6,90.01553877566462,120.01914602376291,120.02015659110309,1,25.0,10.770063234241016,15.538775664617754,20.057452950091292,20.338876940528223,7,8
13,8,2.0,25.0,6,96.2675484375061,140.02157189846727,140.02261002771564,1,12.5,12.645841543945107,17.548437506102445,24.282441282130762,24.89106705325969,7,8
14,4,0.0,0.0,6,112.51155786507246,166.51065079857833,177.310030992286,0,0.0,7.054360628215475,11.557865072463212,14.855187165382805,15.003911952354587,7,8
15,1,1.0,100.0,6,150.0269658310193,150.0269658310193,150.0269658310193,0,0.0,21.435848957804478,26.965831019298268,26.965831019298268,26.965831019298268,7,8
1,33,22.0,66.66666666666667,7,3.9213240864560075,9.407268162064781,10.690320796537039,21,63.63636363636363,7.684683662993793,12.233177365099033,19.981127842450334,20.884861378477122,8,9
2,30,17.0,56.666666666666664,7,6.477521835857798,15.10669841517305,17.428110287388115,17,56.666666666666664,6.522928973472032,10.855169191130564,18.113710137820902,21.3294161613615,8,9
3,23,13.0,56.52173913043478,7,11.665511159353027,23.611675129960656,24.011976563605717,12,52.17391304347826,8.715199611332164,13.337246309548942,20.056616528094544,23.85102141837146,8,9
