BCode,BTSID,Lat,Long
238,565b933233d70b1d0a822258e871a33f,30.889377,121.176142
239,5258458e4f1023b5af1dcd20aedea9bd,31.24822,121.296297
240,5387b313818229a689a69e0bdfe41d0e,31.444014,121.25661
241,adda0ff7c18e22639438c92c2a7ea496,31.355465,121.412867
242,713dc6801d82b0b02c9b26765ba57003,31.357217,121.439635
243,01aa7f990f559cd347302a039a07ef81,31.30092,121.16892
244,02953c2b3429be02bae5afd8ebbbbdd4,31.116103,121.43571
245,54b3f5df68dde6579f945754a9da3a6d,31.127217,121.335543
246,f090ca0472289c73af5449a49f896678,31.318646,121.53899
247,b73ed70329296f0f3c36a99af4ee05f4,31.013227,121.552205
248,002e8ad21a0b3266587ba351187b3106,31.232095,121.20583
249,a3a08367266322331c6c94129e176bf6,31.28711,121.226904
250,8b4727ec66fb17a492f23908dfe98a55,31.33775,121.306733
251,63c4f9711a1182550c0d93dd68213596,31.246059,121.362706
252,52016203db96f2ac471efc17341cf2c1,31.140384,121.620758
253,8c366215ee69a0d0be1a5099bb21d124,31.152157,121.514858
254,7cd462d5215dc0d8f669d2e31fd9087e,31.116103,121.43571
255,4618cf57a3ab2c28fff713dc12991207,31.36124,121.451839
256,d78dd6d6173ced4557fb899ea9f6668a,31.140384,121.620758
257,cfcd2ef2307f2fcc46be04e1534915d5,31.123394,121.278015
258,9bd9e093d808a3be0b84dbe6ca3f8d31,31.456615,121.221022
259,88f833182e60096851f2f2283ea7f0d9,31.17939,121.754087
260,1ae8dfb7afa36df91cb6c00807053749,31.117844,121.402074
261,efd67d0dabe21449277537d73aa9d07b,31.123394,121.278015
262,76c7fda650d3e4d527ab403eb348b8c0,31.357217,121.439635
263,7cf336913be8af0fd1609b97328306fb,30.960682,121.447242
264,9199b99b237542d308865fb7fac75f77,31.140384,121.620758
265,f8079f93857c480cdbbe74d72aa9f09f,31.2077,121.669382
266,d9cdd3c801372c06b2d4a74ba9a34299,30.910136,121.843044
267,5ff39962006af5229bcabbe8965ea5a2,31.163705,121.503747
268,13ad29d985ee6614b35a9d08e6832124,31.274169,121.221302
269,4b86e55647b98a93588db9a9174e3bc1,30.889377,121.176142
270,bdc202e481c99603b723a6da50880a8f,31.254981,121.623923
271,04f3e44e75e82445105b12565e4d57f5,31.263651,121.573401
272,5323eb6df8c08428c802597ab0def41d,30.919796,121.459621
273,7077c69e8736f0a768512d65b49327b3,31.042056,121.720903
274,5d49da2483d0458b05143714dd418b84,31.326648,121.304442
275,7fe0e83c9b188499683dd4a4e9483ff9,30.939177,121.223182
276,1f691aed635bd1cb65ec8882507187e0,31.148848,121.314851
277,720f98de79096e0a90b6753bd2a26263,31.202395,121.6278
278,1c5ec69d061b30dafc8d31e7c876c87d,31.227795,121.254172
279,dd90b8d14f4917852572404ae0cc776a,31.176998,121.423586
280,a792bb0882fdf46fcfa7bea6f8f1e043,31.205759,121.26316
281,452412660e9bc64925c7e174916b22cb,31.273019,121.307617
282,dfb9ee590658e5a85f9b22a5c9e4e965,31.115176,121.36579
283,87141bf532041695e77ea80530a670e5,31.286022,121.497436
284,0149e7df538711fae444093452c66107,31.307268,121.521916
285,56c8093ee89a58d1dcc9ce2aab553d5c,31.069946,121.719641
286,5929c0a32afb57c6b09f935f9ab08632,31.260465,121.461228
287,df2e75463d8477bb473e9f747cddde0b,31.314038,121.509762
288,234be95b00a518ccf785b2ea78eb9e64,31.247519,121.322265
289,1d966671aad8a2736a8220a34b781bd3,31.211485,121.403238
290,d8ff6385af928b96af66956b40ca06c4,31.262756,121.625447
291,3d5d060a964fb6ab2f039acffe9d27b6,31.230109,121.434393
292,74023a75ed6b8a714f9e04e528327ce0,31.045101,121.223676
293,d50c4e2e154c757878b380a3000082d3,31.325382,121.553285
294,454856602b7aee77924f7333f06b54d0,31.031203,121.65009
295,ddc57abbef048bd667c146e1308ca0af,30.88883,121.130607
296,c071e480a9f0c50229979f7970644091,31.134786,121.444969
297,c5b39cefa259983c71d1c7f87008dfed,31.175318,121.181299
298,aba1cd35fea1fc2fb8a77b20768d8a48,31.201251,121.561484
299,fa7fe2689faf27cebd444f929d1fee9a,31.051898,121.769904
300,15dee585744f3cede826be776ad83c29,31.402828,121.48779
301,c3d6c1afd6a8c12e15785c7782be7440,31.143965,121.573343
302,1c9b606a27d86987aed0b68945d9cfab,31.368461,121.372259
303,4c7d5d753a40f763c403aa91fbadb622,30.891482,121.739107
304,d52809e2a30f29661d96e154950da05c,31.355737,121.403678
305,644c3e2a0bbdbeddc311b992842f80e4,31.337218,121.465181
